dimension,run,c,h,a,theta_h,theta_a,average edge weight,number of communites,modularity,range of avg comm. states,std. of avg comm.states
2,1,0.1,0.03,0.01,0.01,0.03,0.0,100,1,12.988643724665673,2.4654006584112746
2,3,0.03,0.03,0.01,0.01,0.03,0.0,100,1,16.545047548289844,3.168264567721435
2,1,0.03,0.01,0.01,0.01,0.1,0.0010670969191158997,11,0.6707324157344561,4.0717390149373305,1.2434202099001976
2,0,0.1,0.3,0.01,0.01,0.01,0.0,100,1,18.274871667979028,3.1425745528456677
2,4,0.03,0.1,0.01,0.01,0.03,0.0,100,1,15.62303125449157,3.1787443125555397
2,0,0.1,0.3,0.1,0.01,0.01,0.0,100,1,16.28805391803872,3.1811345448115023
2,3,0.01,0.1,0.01,0.01,0.3,0.0,100,1,16.423562237666577,3.370306150136493
2,1,0.01,0.03,0.01,0.01,0.3,0.0,100,1,15.156974428227159,3.0896258421363183
2,0,0.1,0.1,0.01,0.01,0.01,0.0,100,1,16.75954448495377,3.211449040725711
2,0,0.1,0.1,0.1,0.01,0.01,3.969138954963914e-06,96,0.010191858199820679,13.368875733795633,2.9038453704507026
2,0,0.03,0.3,0.01,0.01,0.1,0.0,100,1,15.612433635159782,3.3181976043400887
2,1,0.01,0.01,0.01,0.01,0.1,0.0005551600923925633,16,0.7243716836429769,12.770096512557014,3.2365051474826485
2,0,0.3,0.1,0.01,0.01,0.01,0.0,100,1,13.266908596303761,2.9127580543836666
2,0,0.3,0.03,0.01,0.01,0.01,0.0,100,1,10.088035560678517,1.972693552636052
2,1,0.01,0.3,0.01,0.03,0.01,1.9518987582485845e-09,99,1.1102230246251565e-16,16.239711318175427,2.9544641433247754
2,0,0.3,0.1,0.1,0.01,0.01,5.064385253978612e-05,64,0.6274307207305765,13.325292918293599,2.9160680607739113
2,0,0.3,0.01,0.1,0.01,0.01,1.7064827921636576,3,0.0018555023446960098,0.1644126391776417,0.06957541913938134
2,2,0.01,0.1,0.1,0.01,0.3,0.0,100,1,14.721502189473684,3.254272719876897
